destination,days,travelers,transport_type,hotel_type,estimated_trip_cost
Goa,3,2,flight,budget,12000
Goa,5,2,flight,standard,22000
Goa,7,4,flight,luxury,65000
Goa,3,1,train,budget,6000
Goa,5,3,flight,standard,35000
Goa,4,2,bus,budget,9000
Goa,7,2,flight,luxury,48000
Goa,3,4,flight,standard,28000
Goa,5,1,train,standard,11000
Goa,10,2,flight,luxury,72000
Jaipur,3,2,flight,budget,10000
Jaipur,5,2,train,standard,18000
Jaipur,7,4,flight,luxury,58000
Jaipur,3,1,bus,budget,4500
Jaipur,5,3,train,standard,27000
Jaipur,4,2,flight,standard,19000
Jaipur,7,2,flight,luxury,44000
Jaipur,3,4,train,budget,15000
Jaipur,5,1,flight,standard,13000
Jaipur,10,2,flight,luxury,65000
Kerala,3,2,flight,budget,13000
Kerala,5,2,flight,standard,24000
Kerala,7,4,flight,luxury,70000
Kerala,3,1,train,budget,7000
Kerala,5,3,flight,standard,38000
Kerala,4,2,train,standard,16000
Kerala,7,2,flight,luxury,52000
Kerala,3,4,flight,budget,22000
Kerala,5,1,flight,standard,14000
Kerala,10,2,flight,luxury,80000
Shimla,3,2,bus,budget,8000
Shimla,5,2,train,standard,16000
Shimla,7,4,flight,luxury,55000
Shimla,3,1,bus,budget,3500
Shimla,5,3,train,standard,24000
Shimla,4,2,bus,standard,12000
Shimla,7,2,flight,luxury,40000
Shimla,3,4,bus,budget,13000
Shimla,5,1,train,standard,10000
Shimla,10,2,flight,luxury,60000
Andaman,3,2,flight,budget,18000
Andaman,5,2,flight,standard,32000
Andaman,7,4,flight,luxury,90000
Andaman,3,1,flight,budget,10000
Andaman,5,3,flight,standard,50000
Andaman,4,2,flight,standard,26000
Andaman,7,2,flight,luxury,65000
Andaman,3,4,flight,budget,30000
Andaman,5,1,flight,standard,17000
Andaman,10,2,flight,luxury,105000
Ladakh,3,2,flight,budget,16000
Ladakh,5,2,flight,standard,28000
Ladakh,7,4,flight,luxury,80000
Ladakh,3,1,flight,budget,9000
Ladakh,5,3,flight,standard,44000
Ladakh,4,2,flight,standard,22000
Ladakh,7,2,flight,luxury,58000
Ladakh,3,4,flight,budget,26000
Ladakh,5,1,flight,standard,15000
Ladakh,10,2,flight,luxury,95000
Goa,6,2,flight,standard,27000
Goa,4,3,train,budget,14000
Jaipur,6,2,flight,standard,22000
Jaipur,4,3,bus,budget,12000
Kerala,6,2,flight,standard,29000
Kerala,4,3,flight,budget,20000
Shimla,6,2,train,standard,20000
Shimla,4,3,bus,budget,11000
Andaman,6,2,flight,standard,36000
Andaman,4,3,flight,standard,30000
Ladakh,6,2,flight,standard,33000
Ladakh,4,3,flight,budget,21000
Goa,8,2,flight,luxury,55000
Jaipur,8,2,flight,luxury,50000
Kerala,8,2,flight,luxury,60000
Shimla,8,2,flight,luxury,48000
Andaman,8,2,flight,luxury,75000
Ladakh,8,2,flight,luxury,70000
Goa,2,2,flight,budget,9000
Jaipur,2,2,train,budget,7000
Kerala,2,2,flight,budget,10000
Shimla,2,2,bus,budget,5500
Andaman,2,2,flight,budget,14000
Ladakh,2,2,flight,budget,12000
Goa,14,4,flight,luxury,130000
Jaipur,14,4,flight,luxury,120000
Kerala,14,4,flight,luxury,140000
Andaman,14,4,flight,luxury,160000
Ladakh,14,4,flight,luxury,150000
Shimla,14,4,flight,luxury,115000
Goa,3,5,flight,standard,38000
Jaipur,3,5,train,standard,30000
Kerala,3,5,flight,standard,42000
Andaman,3,5,flight,luxury,70000
Ladakh,3,5,flight,standard,48000
Shimla,3,5,bus,standard,22000
